date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:39:25	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2217ee8-56c97b62087c0%22	https://preview.colorlib.com/theme/marco/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/Jyoti/Downloads/Food%201/preview.colorlib.com/theme/marco/fonts/fontawesome-webfont3e6e.woff	(from https://preview.colorlib.com/theme/marco/css/font-awesome.min.css)
14:39:26	165548/165548	---MCZ	200	added ('OK')	font/ttf	etag:W/%22286ac-56c97b5b5b800%22	https://preview.colorlib.com/theme/marco/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Jyoti/Downloads/Food%201/preview.colorlib.com/theme/marco/fonts/fontawesome-webfont3e6e.ttf	(from https://preview.colorlib.com/theme/marco/css/font-awesome.min.css)
14:39:26	447050/447050	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226d24a-56c97b6020340%22	https://preview.colorlib.com/theme/marco/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/Jyoti/Downloads/Food%201/preview.colorlib.com/theme/marco/fonts/fontawesome-webfont3e6e.svg	(from https://preview.colorlib.com/theme/marco/css/font-awesome.min.css)
14:39:26	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Apr%202023%2009:09:26%20GMT	https://preview.colorlib.com/theme/marco/img/ui-icons_444444_256x240.png	C:/Users/Jyoti/Downloads/Food%201/preview.colorlib.com/theme/marco/img/ui-icons_444444_256x240.png	(from https://preview.colorlib.com/theme/marco/css/jquery-ui.css)
14:39:27	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Apr%202023%2009:09:27%20GMT	https://preview.colorlib.com/theme/marco/img/ui-icons_555555_256x240.png	C:/Users/Jyoti/Downloads/Food%201/preview.colorlib.com/theme/marco/img/ui-icons_555555_256x240.png	(from https://preview.colorlib.com/theme/marco/css/jquery-ui.css)
14:39:27	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Apr%202023%2009:09:27%20GMT	https://preview.colorlib.com/theme/marco/img/ui-icons_ffffff_256x240.png	C:/Users/Jyoti/Downloads/Food%201/preview.colorlib.com/theme/marco/img/ui-icons_ffffff_256x240.png	(from https://preview.colorlib.com/theme/marco/css/jquery-ui.css)
14:39:27	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Apr%202023%2009:09:28%20GMT	https://preview.colorlib.com/theme/marco/img/ui-icons_777620_256x240.png	C:/Users/Jyoti/Downloads/Food%201/preview.colorlib.com/theme/marco/img/ui-icons_777620_256x240.png	(from https://preview.colorlib.com/theme/marco/css/jquery-ui.css)
14:39:28	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Apr%202023%2009:09:28%20GMT	https://preview.colorlib.com/theme/marco/img/ui-icons_777777_256x240.png	C:/Users/Jyoti/Downloads/Food%201/preview.colorlib.com/theme/marco/img/ui-icons_777777_256x240.png	(from https://preview.colorlib.com/theme/marco/css/jquery-ui.css)
14:39:29	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Apr%202023%2009:09:29%20GMT	https://preview.colorlib.com/theme/marco/css/owl.video.play.png	C:/Users/Jyoti/Downloads/Food%201/preview.colorlib.com/theme/marco/css/owl.video.play.png	(from https://preview.colorlib.com/theme/marco/css/owl.carousel.css)
14:39:30	1661/1661	---M--	200	added ('OK')	image/png	etag:%2267d-56c97c11825c0%22	https://preview.colorlib.com/theme/marco/img/elements/primary-check.png	C:/Users/Jyoti/Downloads/Food%201/preview.colorlib.com/theme/marco/img/elements/primary-check.png	(from https://preview.colorlib.com/theme/marco/css/main.css)
